50,34,0
50,42,68
50,34,34
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,34,68
50,34,68
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,42,68
50,25,34
50,25,106
50,34,106
50,34,68
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,25,68
50,34,106
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,25,68
50,25,106
50,34,106
50,34,68
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,34,68
50,25,68
50,25,106
50,34,106
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,25,68
50,25,106
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,34,68
50,34,68
50,25,68
50,34,106
50,34,68
50,25,68
50,34,106
50,34,68
50,25,68
